Genes	First.Protein.Description	Detection	Median.Abundance	Peptides	Precursors
F11	Coagulation factor XI	0.961990950226244	127.559482877805	6	7
CD44	CD44 antigen	0.882352941176471	53.6907405961177	3	4
FGA	Fibrinogen alpha chain	1	16588.0684640846	77	114
SERPINF1	Pigment epithelium-derived factor	1	234.550690778994	17	19
APOL1	Apolipoprotein L1	0.998190045248869	304.049770402517	9	11
IGKV1D-8	Immunoglobulin kappa variable 1D-8	0.856108597285068	84.3529238464839	2	2
SERPINA7	Thyroxine-binding globulin	1	163.490693812568	13	13
APOH	Beta-2-glycoprotein 1	1	1673.59763401453	20	24
IGHV5-51	Immunoglobulin heavy variable 5-51	1	161.142836893876	5	7
PROS1	Vitamin K-dependent protein S	1	200.950943784858	15	18
IGKV2-28;IGKV2-40;IGKV2D-28;IGKV2D-40	Immunoglobulin kappa variable 2-28	0.363800904977376	238.614963150089	1	1
IGHV1-18	Immunoglobulin heavy variable 1-18	0.754751131221719	87.5600527324616	3	4
IGKV1-16	Immunoglobulin kappa variable 1-16	0.978280542986425	129.669426084344	2	3
IGKV6-21	Immunoglobulin kappa variable 6-21	0.628054298642534	54.4034428435724	3	4
IGKV1-5	Immunoglobulin kappa variable 1-5	0.969230769230769	481.182141380179	4	4
IGKV3-15	Immunoglobulin kappa variable 3-15	1	3959.06791549109	2	3
IGKV3-20	Immunoglobulin kappa variable 3-20	1	4546.57400810589	4	5
IGKV3-11	Immunoglobulin kappa variable 3-11	0.990045248868778	2908.52985617567	2	3
CLU	Clusterin	1	1764.22947215234	27	37
LBP	Lipopolysaccharide-binding protein	0.995475113122172	303.809988917825	11	12
IGKV3-20;IGKV3D-20	Immunoglobulin kappa variable 3D-20	1	1088.80227604258	2	3
CFD	Complement factor D	0.941176470588235	182.88784143864	5	7
IGLL1	Immunoglobulin lambda-like polypeptide 1	0.523076923076923	2424.31239932839	1	1
PLG	Plasminogen	1	1548.63351748745	54	72
LPA	Apolipoprotein(a)	0.952941176470588	1048.91575689499	25	30
A1BG	Alpha-1B-glycoprotein	1	1624.59768134176	17	22
HP	Haptoglobin	1	27015.6371138731	27	40
HP;HPR	Haptoglobin	1	19200.5183093581	19	27
SERPINA1	Alpha-1-antitrypsin	1	24452.6335914429	43	70
C2	Complement C2	1	235.049564390718	19	21
SERPINA6	Corticosteroid-binding globulin	0.992760180995475	323.158930795108	7	9
FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	0.514027149321267	46.3248794524062	3	3
F5	Coagulation factor V	0.976470588235294	40.116425524266	16	16
IGHV3-49	Immunoglobulin heavy variable 3-49	0.992760180995475	507.991352730326	5	6
CPB2	Carboxypeptidase B2	1	221.250648518647	7	9
CFP	Properdin	0.933031674208145	142.329724756093	5	6
GC	Vitamin D-binding protein	1	1252.03698163877	37	48
IGHG2	Immunoglobulin heavy constant gamma 2	1	6009.30795135464	8	13
C8B	Complement component C8 beta chain	1	588.619075653551	16	22
C4BPA	C4b-binding protein alpha chain	1	1589.02750361577	36	47
F12	Coagulation factor XII	0.999095022624434	139.934973094432	14	17
CLEC3B	Tetranectin	0.980090497737556	63.8421771174285	6	8
CFHR3;CFHR4	Complement factor H-related protein 3	0.334841628959276	21.7758073764807	2	2
RNASE1	Ribonuclease pancreatic	0.0253393665158371	34.00455	3	3
CFH;CFHR1	Complement factor H	1	851.79751950351	5	7
C1R	Complement C1r subcomponent	1	279.551562062425	27	34
F13B	Coagulation factor XIII B chain	0.999095022624434	124.259396733476	15	18
AHSG	Alpha-2-HS-glycoprotein	1	1149.98087551267	13	20
IGHG3	Immunoglobulin heavy constant gamma 3	1	5891.86610030037	13	21
APOD	Apolipoprotein D	1	684.770986178373	9	14
KLKB1	Plasma kallikrein	1	1068.03047700899	28	29
C1S	Complement C1s subcomponent	1	1592.04840392694	24	27
CD5L	CD5 antigen-like	1	595.876627975693	14	15
HPX	Hemopexin	1	7819.97237790455	31	44
VTN	Vitronectin	1	2281.24640266045	16	22
ATRN	Attractin	0.99185520361991	84.753427499507	12	13
JCHAIN	Immunoglobulin J chain	1	516.758701926079	8	10
APOC3	Apolipoprotein C-III	1	2571.03552053256	7	7
IGHA2	Immunoglobulin heavy constant alpha 2	1	5220.21424256506	7	9
IGHA1	Immunoglobulin heavy constant alpha 1	1	6851.81004129482	11	19
IGHV3-15	Immunoglobulin heavy variable 3-15	0.958371040723982	80.4276396163603	4	5
IGHG1	Immunoglobulin heavy constant gamma 1	1	24203.1217987081	13	21
IGFALS	Insulin-like growth factor-binding protein complex acid labile subunit	0.923981900452489	82.556875368419	12	12
ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3	1	423.598374967016	25	32
SERPING1	Plasma protease C1 inhibitor	1	2771.80370772911	18	26
SERPINA4	Kallistatin	0.990950226244344	154.035168231036	16	20
IGHM	Immunoglobulin heavy constant mu	1	2873.69935291409	32	51
ORM1;ORM2	Alpha-1-acid glycoprotein 1	1	24630.1430323512	8	9
F2	Prothrombin	1	1274.3063000096	39	52
LPA;PLG	Plasminogen	0.885067873303168	84.8292121190093	2	2
ACTB;ACTG1	Actin, cytoplasmic 1	0.739366515837104	301.098429323343	7	9
RBP4	Retinol-binding protein 4	0.998190045248869	440.885708620581	9	10
C1QA	Complement C1q subcomponent subunit A	0.980995475113122	235.573297667928	5	5
C1QB	Complement C1q subcomponent subunit B	1	521.154605932618	8	12
IGLV3-16;IGLV3-25;IGLV3-27	Immunoglobulin lambda variable 3-16	0.384615384615385	15.6603705974295	1	1
SERPINF2	Alpha-2-antiplasmin	1	651.203245589194	16	20
IGKV2-30	Immunoglobulin kappa variable 2-30	0.972850678733032	1083.33665820186	3	3
IGHD	Immunoglobulin heavy constant delta	0.761990950226244	87.2962512604361	16	19
IGHG1;IGHG2;IGHG3;IGHG4	Immunoglobulin heavy constant gamma 1	0.999095022624434	6950.0566068336	2	2
IGHV1-2	Immunoglobulin heavy variable 1-2	0.834389140271493	122.188205764608	3	5
IGHV1-46	Immunoglobulin heavy variable 1-46	0.914932126696833	119.460810721855	2	3
C1RL	Complement C1r subcomponent-like protein	0.994570135746606	78.23130546584	6	7
CPN1	Carboxypeptidase N catalytic chain	1	112.254983194861	9	10
SAA4	Serum amyloid A-4 protein	1	701.281641933378	8	10
SAA1;SAA2	Serum amyloid A-1 protein	0.959276018099547	565.270224257617	4	5
IGHG2;IGHG3	Immunoglobulin heavy constant gamma 2	1	7312.03756431948	4	7
APOC1	Apolipoprotein C-I	1	345.852677663274	7	10
HBB	Hemoglobin subunit beta	1	1035.10004024501	11	14
QSOX1	Sulfhydryl oxidase 1	0.196380090497738	19.897555171426	2	2
CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2	0.640723981900453	534.342909101337	1	2
ORM2	Alpha-1-acid glycoprotein 2	1	1899.57138032186	8	12
IGHA1;IGHA2	Immunoglobulin heavy constant alpha 1	1	3520.73772171671	9	10
ECM1	Extracellular matrix protein 1	0.976470588235294	155.883596095736	9	9
FCN3	Ficolin-3	0.992760180995475	142.42447701568	9	10
LGALS3BP	Galectin-3-binding protein	0.972850678733032	39.1389025496296	7	8
PROZ	Vitamin K-dependent protein Z	0.395475113122172	24.6417967079274	1	1
IGHG4	Immunoglobulin heavy constant gamma 4	0.998190045248869	2267.71122160242	12	20
